Rank	Feature	Model	Style	Band/Index
39	PACEIndex-NDII-AtGreenUp	XGBoost_Legacy	PACE	NDII
40	PACEIndex-CIRE-AtMinNDVI	XGBoost_Legacy	PACE	CIRE
41	Warmest3MeanBandRefl-Band_2	XGBoost_Legacy	MODIS	Band_2
42	PACEIndex-NDII-Greenest3Mean	XGBoost_Legacy	PACE	NDII
43	PACEIndex-NDRE-MostStressed3Mean	XGBoost_Legacy	PACE	NDRE
44	PACEIndex-PRI-Max	XGBoost_Legacy	PACE	PRI
45	PACEIndex-CCI-Median	XGBoost_Legacy	PACE	CCI
46	BandReflMin-Band_7	XGBoost_Legacy	MODIS	Band_7
47	PACEIndex-CCI-Greenest3Mean	XGBoost_Legacy	PACE	CCI
48	BandReflMaxGreenness-Band_7	XGBoost_Legacy	MODIS	Band_7
49	Warmest3MeanBandRefl-Band_1	XGBoost_Legacy	MODIS	Band_1
50	PACEIndex-NDRE-AtGreenUp	XGBoost_Legacy	PACE	NDRE
1	BandReflMin-Band_1	XGBoost_Chipped	MODIS	Band_1
2	Lowest3MeanBandRefl-Band_1	XGBoost_Chipped	MODIS	Band_1
3	Warmest6MeanBandRefl-Band_7	XGBoost_Chipped	MODIS	Band_7
4	BandReflMedian-Band_1	XGBoost_Chipped	MODIS	Band_1
5	PACEIndex-CCI-Min	XGBoost_Chipped	PACE	CCI
6	Lowest6MeanBandRefl-Band_1	XGBoost_Chipped	MODIS	Band_1
7	Warmest8MeanBandRefl-Band_7	XGBoost_Chipped	MODIS	Band_7
8	PACEIndex-MTCI-Brownest3Mean	XGBoost_Chipped	PACE	MTCI
9	Warmest6MeanBandRefl-Band_6	XGBoost_Chipped	MODIS	Band_6
10	SnowFree-Band_7-Mean	XGBoost_Chipped	MODIS	Band_7
11	BandReflMaxTemp-Band_6	XGBoost_Chipped	MODIS	Band_6
12	Greenest3MeanBandRefl-Band_6	XGBoost_Chipped	MODIS	Band_6
13	BandReflMedian-Band_7	XGBoost_Chipped	MODIS	Band_7
14	BandReflMedianGreenness-Band_1	XGBoost_Chipped	MODIS	Band_1
15	PACEIndex-mARI-Median	XGBoost_Chipped	PACE	mARI
16	PACEIndex-PRI-HighAnthocyanin3Mean	XGBoost_Chipped	PACE	PRI
17	Warmest3MeanBandRefl-Band_6	XGBoost_Chipped	MODIS	Band_6
18	Greenest3MeanBandRefl-Band_1	XGBoost_Chipped	MODIS	Band_1
19	PACEIndex-EVI-Brownest3Mean	XGBoost_Chipped	PACE	EVI
